"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2018","First time applicant","17 and under","Woman","Northern Ireland","10"
"2020","First time applicant","17 and under","Woman","Northern Ireland","10"
"2022","First time applicant","17 and under","Woman","Northern Ireland","10"
"2017","First time applicant","18","Woman","Northern Ireland","420"
"2018","First time applicant","18","Woman","Northern Ireland","390"
"2019","First time applicant","18","Woman","Northern Ireland","420"
"2020","First time applicant","18","Woman","Northern Ireland","470"
"2021","First time applicant","18","Woman","Northern Ireland","520"
"2022","First time applicant","18","Woman","Northern Ireland","590"
"2023","First time applicant","18","Woman","Northern Ireland","470"
"2024","First time applicant","18","Woman","Northern Ireland","450"
"2025","First time applicant","18","Woman","Northern Ireland","410"
"2026","First time applicant","18","Woman","Northern Ireland","430"
"2017","First time applicant","19","Woman","Northern Ireland","20"
"2018","First time applicant","19","Woman","Northern Ireland","20"
"2019","First time applicant","19","Woman","Northern Ireland","20"
"2020","First time applicant","19","Woman","Northern Ireland","20"
"2021","First time applicant","19","Woman","Northern Ireland","30"
"2022","First time applicant","19","Woman","Northern Ireland","20"
"2023","First time applicant","19","Woman","Northern Ireland","20"
"2024","First time applicant","19","Woman","Northern Ireland","10"
"2025","First time applicant","19","Woman","Northern Ireland","20"
"2026","First time applicant","19","Woman","Northern Ireland","20"
"2017","Reapplier","19","Woman","Northern Ireland","50"
"2018","Reapplier","19","Woman","Northern Ireland","50"
"2019","Reapplier","19","Woman","Northern Ireland","40"
"2020","Reapplier","19","Woman","Northern Ireland","40"
"2021","Reapplier","19","Woman","Northern Ireland","40"
"2022","Reapplier","19","Woman","Northern Ireland","80"
"2023","Reapplier","19","Woman","Northern Ireland","90"
"2024","Reapplier","19","Woman","Northern Ireland","70"
"2025","Reapplier","19","Woman","Northern Ireland","70"
"2026","Reapplier","19","Woman","Northern Ireland","50"
"2018","First time applicant","20","Woman","Northern Ireland","10"
"2019","First time applicant","20","Woman","Northern Ireland","10"
"2021","First time applicant","20","Woman","Northern Ireland","10"
"2022","First time applicant","20","Woman","Northern Ireland","10"
"2023","First time applicant","20","Woman","Northern Ireland","10"
"2024","First time applicant","20","Woman","Northern Ireland","10"
"2025","First time applicant","20","Woman","Northern Ireland","10"
"2026","First time applicant","20","Woman","Northern Ireland","10"
"2020","Reapplier","20","Woman","Northern Ireland","10"
"2022","Reapplier","20","Woman","Northern Ireland","10"
"2023","Reapplier","20","Woman","Northern Ireland","10"
"2025","Reapplier","20","Woman","Northern Ireland","10"
"2017","First time applicant","21 - 24","Woman","Northern Ireland","50"
"2018","First time applicant","21 - 24","Woman","Northern Ireland","50"
"2019","First time applicant","21 - 24","Woman","Northern Ireland","60"
"2020","First time applicant","21 - 24","Woman","Northern Ireland","50"
"2021","First time applicant","21 - 24","Woman","Northern Ireland","60"
"2022","First time applicant","21 - 24","Woman","Northern Ireland","60"
"2023","First time applicant","21 - 24","Woman","Northern Ireland","50"
"2024","First time applicant","21 - 24","Woman","Northern Ireland","40"
"2025","First time applicant","21 - 24","Woman","Northern Ireland","60"
"2026","First time applicant","21 - 24","Woman","Northern Ireland","50"
"2017","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2018","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2021","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2022","Reapplier","21 - 24","Woman","Northern Ireland","20"
"2023","Reapplier","21 - 24","Woman","Northern Ireland","20"
"2024","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2025","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2026","Reapplier","21 - 24","Woman","Northern Ireland","10"
"2018","First time applicant","25 - 29","Woman","Northern Ireland","10"
"2019","First time applicant","25 - 29","Woman","Northern Ireland","10"
"2020","First time applicant","25 - 29","Woman","Northern Ireland","10"
"2021","First time applicant","25 - 29","Woman","Northern Ireland","20"
"2022","First time applicant","25 - 29","Woman","Northern Ireland","10"
"2023","First time applicant","25 - 29","Woman","Northern Ireland","20"
"2024","First time applicant","25 - 29","Woman","Northern Ireland","20"
"2025","First time applicant","25 - 29","Woman","Northern Ireland","20"
"2026","First time applicant","25 - 29","Woman","Northern Ireland","20"
"2022","Reapplier","25 - 29","Woman","Northern Ireland","10"
"2024","Reapplier","25 - 29","Woman","Northern Ireland","10"
"2025","Reapplier","25 - 29","Woman","Northern Ireland","10"
"2026","Reapplier","25 - 29","Woman","Northern Ireland","10"
"2021","First time applicant","30 - 34","Woman","Northern Ireland","10"
"2023","First time applicant","30 - 34","Woman","Northern Ireland","10"
"2025","First time applicant","30 - 34","Woman","Northern Ireland","10"
"2021","First time applicant","35 and over","Woman","Northern Ireland","10"
"2017","First time applicant","18","Man","Northern Ireland","270"
"2018","First time applicant","18","Man","Northern Ireland","290"
"2019","First time applicant","18","Man","Northern Ireland","290"
"2020","First time applicant","18","Man","Northern Ireland","280"
"2021","First time applicant","18","Man","Northern Ireland","280"
"2022","First time applicant","18","Man","Northern Ireland","300"
"2023","First time applicant","18","Man","Northern Ireland","290"
"2024","First time applicant","18","Man","Northern Ireland","290"
"2025","First time applicant","18","Man","Northern Ireland","280"
"2026","First time applicant","18","Man","Northern Ireland","250"
"2017","First time applicant","19","Man","Northern Ireland","10"
"2018","First time applicant","19","Man","Northern Ireland","10"
"2019","First time applicant","19","Man","Northern Ireland","10"
"2020","First time applicant","19","Man","Northern Ireland","10"
"2021","First time applicant","19","Man","Northern Ireland","10"
"2022","First time applicant","19","Man","Northern Ireland","10"
"2023","First time applicant","19","Man","Northern Ireland","10"
"2024","First time applicant","19","Man","Northern Ireland","10"
"2025","First time applicant","19","Man","Northern Ireland","10"
"2026","First time applicant","19","Man","Northern Ireland","10"
"2017","Reapplier","19","Man","Northern Ireland","40"
"2018","Reapplier","19","Man","Northern Ireland","30"
"2019","Reapplier","19","Man","Northern Ireland","20"
"2020","Reapplier","19","Man","Northern Ireland","40"
"2021","Reapplier","19","Man","Northern Ireland","40"
"2022","Reapplier","19","Man","Northern Ireland","40"
"2023","Reapplier","19","Man","Northern Ireland","60"
"2024","Reapplier","19","Man","Northern Ireland","40"
"2025","Reapplier","19","Man","Northern Ireland","30"
"2026","Reapplier","19","Man","Northern Ireland","30"
"2021","First time applicant","20","Man","Northern Ireland","10"
"2023","First time applicant","20","Man","Northern Ireland","10"
"2017","Reapplier","20","Man","Northern Ireland","10"
"2023","Reapplier","20","Man","Northern Ireland","10"
"2024","Reapplier","20","Man","Northern Ireland","10"
"2017","First time applicant","21 - 24","Man","Northern Ireland","40"
"2018","First time applicant","21 - 24","Man","Northern Ireland","40"
"2019","First time applicant","21 - 24","Man","Northern Ireland","30"
"2020","First time applicant","21 - 24","Man","Northern Ireland","30"
"2021","First time applicant","21 - 24","Man","Northern Ireland","40"
"2022","First time applicant","21 - 24","Man","Northern Ireland","30"
"2023","First time applicant","21 - 24","Man","Northern Ireland","30"
"2024","First time applicant","21 - 24","Man","Northern Ireland","20"
"2025","First time applicant","21 - 24","Man","Northern Ireland","30"
"2026","First time applicant","21 - 24","Man","Northern Ireland","30"
"2017","Reapplier","21 - 24","Man","Northern Ireland","10"
"2022","Reapplier","21 - 24","Man","Northern Ireland","10"
"2023","Reapplier","21 - 24","Man","Northern Ireland","10"
"2024","Reapplier","21 - 24","Man","Northern Ireland","10"
"2026","Reapplier","21 - 24","Man","Northern Ireland","10"
"2017","First time applicant","25 - 29","Man","Northern Ireland","10"
"2019","First time applicant","25 - 29","Man","Northern Ireland","10"
"2021","First time applicant","25 - 29","Man","Northern Ireland","10"
"2022","First time applicant","25 - 29","Man","Northern Ireland","10"
"2023","First time applicant","25 - 29","Man","Northern Ireland","10"
"2024","First time applicant","25 - 29","Man","Northern Ireland","10"
"2025","First time applicant","25 - 29","Man","Northern Ireland","10"
"2026","First time applicant","25 - 29","Man","Northern Ireland","10"
"2022","Reapplier","25 - 29","Man","Northern Ireland","10"
"2019","First time applicant","30 - 34","Man","Northern Ireland","10"
"2022","First time applicant","30 - 34","Man","Northern Ireland","10"
"2025","First time applicant","30 - 34","Man","Northern Ireland","10"
"2025","First time applicant","18","I use another term","Northern Ireland","10"
"2024","First time applicant","18","I prefer not to say","Northern Ireland","10"
"2017","First time applicant","17 and under","Woman","England","130"
"2018","First time applicant","17 and under","Woman","England","130"
"2019","First time applicant","17 and under","Woman","England","120"
"2020","First time applicant","17 and under","Woman","England","130"
"2021","First time applicant","17 and under","Woman","England","110"
"2022","First time applicant","17 and under","Woman","England","140"
"2023","First time applicant","17 and under","Woman","England","120"
"2024","First time applicant","17 and under","Woman","England","130"
"2025","First time applicant","17 and under","Woman","England","100"
"2026","First time applicant","17 and under","Woman","England","110"
"2017","First time applicant","18","Woman","England","13310"
"2018","First time applicant","18","Woman","England","14740"
"2019","First time applicant","18","Woman","England","16840"
"2020","First time applicant","18","Woman","England","17490"
"2021","First time applicant","18","Woman","England","19240"
"2022","First time applicant","18","Woman","England","20140"
"2023","First time applicant","18","Woman","England","19570"
